kernel,classic_cca,aqm,bdp,i,prague throughput,classic throughput,drops,classic,transition,scalable
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,0,2061606.1364206048,92283256.75022845,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,8,2568282.79219542,92301198.62342654,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,5,27920101.088086583,66829447.9291827,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,2,39102717.81951918,55386652.5433437,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,9,47945564.70466769,46879638.9640663,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,1,47875716.29070767,46967101.7928875,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,4,47910607.78082715,46984576.23886785,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,3,47893144.48823557,46967083.79232753,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,6,47893247.43872115,46932151.34031926,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,7,48103282.26742677,46687640.7376227,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,0,47997705.79213667,46879431.9537986,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,8,47840599.91389695,47019460.103333846,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,5,48120314.287101634,46774864.2576632,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,8,2,48015481.80169107,46809814.67121003,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,9,47945803.58819772,46879760.04639103,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,1,47858267.326059535,46984608.338796444,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,4,47928121.3811693,46809923.87312777,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,3,47840568.0264625,47036996.44860475,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,6,47910936.7053053,46914784.78149663,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,7,47928150.1324936,46949648.47131898,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,0,47875780.11274435,46932195.13520882,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,8,47473626.25006107,47316314.9752585,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,5,47770968.907035045,47054459.92083169,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,2,2,47788284.95425274,47019468.7218883,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,9,47858215.489653476,47072070.84993315,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,1,47596217.47913604,47159382.8439096,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,4,47735848.064973325,46914659.69970935,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,3,47945766.83673047,46862459.73451135,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,6,47945653.38690436,46739949.6780916,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,7,48067850.7894513,46862195.794198,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,0,47770710.99456442,46879607.717116274,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,8,48067874.8187102,46827324.9942707,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,5,47805852.6154368,46984467.41260705,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,4,2,47753343.20352354,47106795.3483704,,,,
